lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
139.000,-15.880,18.000,801.000,134.014,-25.270,0.213,3171.000,142.670,-16.060,7.100,-24.590,6.180,166.750,0.190,219.320,781.000,698.000,3.450,15.160,6.450,-2.950,-6.020,1.420,-1.600,-74.350,0.430,-1.540,105.830,0.140,19.220,362.930,2.500
140.000,-15.880,18.000,801.000,135.076,-25.224,0.202,3174.000,143.140,-16.430,7.070,-24.710,6.150,166.670,0.190,219.180,781.000,698.000,2.860,15.750,6.420,-2.950,-5.980,1.420,-1.600,-74.280,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
141.000,-15.880,18.000,801.000,136.138,-25.175,0.190,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
142.000,-15.880,18.000,801.000,137.199,-25.123,0.179,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
143.000,-15.880,18.000,801.000,138.259,-25.068,0.169,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
144.000,-15.880,18.000,801.000,139.319,-25.009,0.160,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
145.000,-15.880,18.000,801.000,140.378,-24.948,0.153,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
135.000,-14.880,18.000,801.000,129.723,-24.425,0.234,3117.000,133.140,-11.390,7.580,3.430,6.730,-165.970,0.200,194.270,781.000,698.000,4.640,4.640,7.570,0.450,-6.530,-1.630,-1.580,-48.560,1.040,-1.180,110.880,0.160,32.940,424.550,2.590
136.000,-14.880,18.000,801.000,130.784,-24.391,0.228,3130.000,135.660,-12.120,7.480,-2.520,6.610,-171.740,0.200,199.720,781.000,698.000,7.220,7.220,7.480,-0.330,-6.550,-0.950,-1.580,-54.130,0.930,-1.280,98.270,0.160,32.720,328.260,2.270
137.000,-14.880,18.000,801.000,131.844,-24.354,0.221,3142.000,137.870,-13.010,7.380,-8.220,6.500,-177.260,0.190,204.860,781.000,698.000,9.050,9.560,7.300,-1.060,-6.490,-0.310,-1.590,-59.420,0.810,-1.370,111.000,0.150,33.050,332.690,2.590
