lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
157.057,-21.277,24.000,866.000,152.941,-32.160,0.214,2711.000,158.880,-21.100,0.000,0.000,-1.380,-81.250,0.150,210.750,922.000,853.000,0.070,19.760,0.000,0.000,0.210,-1.360,-1.380,-81.250,0.210,-1.360,4.610,0.000,42.350,70.320,1.290
148.812,-4.025,24.000,830.000,156.975,-1.455,0.002,1277.000,156.940,-1.590,7.890,79.390,-1.380,-78.470,0.190,208.420,901.000,847.000,0.800,0.800,1.450,7.760,0.280,-1.350,-6.640,74.930,1.730,6.410,134.900,0.030,5.080,179.250,2.730
156.941,-1.909,25.000,901.000,171.794,-5.764,0.094,2695.000,168.100,-9.710,12.700,23.440,8.890,175.210,0.190,221.960,901.000,827.000,0.660,0.660,11.650,5.050,-8.850,0.740,-6.450,64.510,2.780,5.830,110.010,0.240,40.010,166.090,2.620
142.252,-14.802,25.000,801.000,135.755,-27.862,0.261,2618.000,145.890,-16.150,-4.360,-147.850,6.310,173.740,0.190,210.940,922.000,853.000,6.370,6.370,-3.690,-2.320,-6.270,0.690,10.100,-170.760,-9.970,-1.620,11.170,0.000,73.630,88.610,1.640
165.095,-11.152,26.000,827.000,167.870,-14.575,0.044,1392.000,170.310,-13.660,11.360,6.420,8.760,161.930,0.180,239.460,901.000,847.000,2.670,19.390,11.280,1.270,-8.330,2.720,-4.980,53.210,2.980,3.990,101.940,0.220,25.380,162.600,2.560
167.539,-13.050,26.000,857.000,162.317,-23.284,0.023,2469.000,162.660,-24.540,0.630,-37.500,5.200,-148.130,0.190,161.600,861.000,834.000,5.540,5.540,0.500,-0.390,-4.410,-2.740,5.010,-141.270,-3.910,-3.140,49.880,0.010,27.740,201.110,2.210
166.244,-24.702,27.000,869.000,163.505,-35.401,0.034,1556.000,165.430,-34.310,0.000,0.000,-5.560,-61.100,0.170,59.280,801.000,842.000,0.490,11.620,0.000,0.000,2.690,-4.870,-5.560,-61.100,2.690,-4.870,4.200,0.000,23.640,70.900,1.300
155.463,-1.034,27.000,901.000,171.389,-5.138,0.121,1410.000,167.660,-10.980,10.450,26.790,9.600,-172.550,0.170,210.350,901.000,847.000,9.190,15.370,9.330,4.710,-9.520,-1.240,3.480,92.940,-0.180,3.480,105.280,0.170,45.630,164.030,2.590
169.128,-20.608,28.000,855.000,165.563,-31.337,0.054,1533.000,165.180,-34.410,0.000,0.000,-5.690,-81.420,0.050,79.380,801.000,842.000,0.030,12.080,0.000,0.000,0.850,-5.620,-5.690,-81.420,0.850,-5.620,10.010,0.000,12.160,85.070,1.640
156.867,-9.373,28.000,836.000,150.146,-22.511,0.157,2605.000,158.200,-27.770,0.550,-4.030,6.330,-117.080,0.200,124.770,861.000,834.000,1.030,1.030,0.550,-0.040,-2.880,-5.630,6.140,-112.300,-2.330,-5.680,27.700,0.010,42.080,161.980,2.000
