lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
126.315,-30.477,158.000,801.000,76.188,-56.786,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.534,8.500,95.000,647.000,101.809,13.445,0.095,1826.000,97.380,10.180,4.640,-72.480,3.810,165.590,0.190,51.830,787.000,7250.000,2.420,2.420,1.400,-4.430,-3.690,0.950,4.150,-123.560,-2.290,-3.460,39.250,0.020,22.230,100.620,2.300
155.163,-24.589,21.000,801.000,155.204,-36.039,0.235,2332.000,159.370,-23.050,6.060,-8.390,5.800,169.720,0.190,194.850,922.000,853.000,1.560,22.070,6.000,-0.880,-5.710,1.040,-0.330,27.550,0.290,0.150,17.240,0.050,1.070,117.990,1.790
111.157,0.273,82.000,614.000,112.798,0.391,0.004,1187.000,113.000,0.540,11.310,23.300,2.260,-160.630,0.190,260.630,926.000,614.000,5.290,5.290,10.390,4.480,-2.130,-0.750,-9.070,24.350,8.260,3.740,50.980,0.160,15.490,149.560,2.190
100.297,5.694,86.000,647.000,101.634,8.655,0.077,1920.000,99.580,4.770,6.920,-19.360,4.050,-164.300,0.190,28.270,787.000,673.000,2.910,12.940,6.520,-2.290,-3.900,-1.100,-4.300,-52.390,2.630,-3.410,22.310,0.070,1.570,73.160,2.070
131.165,1.346,159.000,608.000,128.579,-60.170,0.052,1259.000,134.570,-60.100,8.890,-19.030,4.020,132.520,0.190,264.540,919.000,833.000,11.160,11.160,8.400,-2.900,-2.720,2.960,-5.680,0.610,5.680,0.060,89.320,0.170,3.550,264.440,2.830
152.845,-0.482,3.000,901.000,155.022,-1.319,0.072,2544.000,150.920,-1.830,-2.080,167.400,7.170,-140.190,0.200,81.780,847.000,689.000,2.290,2.290,-2.030,0.450,-5.510,-4.590,8.600,-151.220,-7.540,-4.140,148.460,0.000,9.440,190.580,2.830
135.596,-16.245,55.000,801.000,127.329,-44.432,0.296,2808.000,144.440,-33.680,0.000,0.000,-6.020,-27.390,0.200,50.110,836.000,836.000,1.090,13.150,0.000,0.000,5.340,-2.770,-6.020,-27.390,5.340,-2.770,18.480,0.000,32.840,227.300,1.890
136.927,-4.583,10.000,615.000,134.940,-11.351,0.114,296.000,137.240,-5.210,17.910,29.880,14.520,-126.570,0.010,40.980,615.000,679.000,0.000,0.000,15.530,8.920,-8.650,-11.660,-7.430,-23.940,6.790,-3.010,29.310,0.010,49.190,161.270,1.950
124.175,3.901,16.000,645.000,124.148,-0.635,0.037,1200.000,124.990,1.310,10.760,-29.560,3.580,151.340,0.170,15.980,645.000,678.000,0.080,20.130,9.360,-5.310,-3.150,1.720,-7.180,-28.410,6.310,-3.420,25.770,0.090,31.380,167.100,1.940
