lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
149.298,-16.500,14.000,801.000,147.824,-24.989,0.152,2058.000,152.890,-17.640,6.610,-19.990,5.720,158.660,0.190,212.520,922.000,853.000,9.640,12.100,6.210,-2.260,-5.330,2.080,-0.900,-11.790,0.890,-0.180,31.580,0.080,24.750,145.470,2.040
150.298,-16.500,14.000,801.000,148.878,-24.913,0.142,2059.000,153.060,-17.740,6.600,-20.040,5.700,158.600,0.190,212.470,922.000,853.000,9.450,12.290,6.200,-2.260,-5.310,2.080,-0.910,-11.760,0.890,-0.180,31.580,0.080,24.750,145.470,2.040
151.298,-16.500,14.000,801.000,149.932,-24.834,0.134,2060.000,153.240,-17.820,6.580,-8.500,5.690,170.120,0.190,200.850,922.000,853.000,9.260,12.470,6.510,-0.970,-5.600,0.980,-0.910,-0.190,0.910,-0.000,31.580,0.080,24.750,145.470,2.040
146.298,-15.500,14.000,801.000,144.581,-24.203,0.170,2043.000,150.370,-16.110,6.800,-18.560,5.930,160.310,0.190,212.390,922.000,853.000,9.240,9.240,6.450,-2.170,-5.590,2.000,-0.880,-11.250,0.860,-0.170,34.360,0.080,12.580,180.850,2.140
147.298,-15.500,14.000,801.000,145.634,-24.135,0.160,2047.000,151.050,-16.520,6.750,-18.700,5.880,160.110,0.190,212.200,922.000,853.000,10.000,10.000,6.400,-2.170,-5.530,2.000,-0.890,-11.160,0.870,-0.170,41.410,0.090,12.580,200.940,2.120
148.298,-15.500,14.000,801.000,146.687,-24.065,0.149,2050.000,151.550,-16.820,6.720,-18.810,5.830,159.960,0.190,212.060,922.000,853.000,10.580,10.580,6.360,-2.170,-5.480,2.000,-0.890,-11.100,0.870,-0.170,36.060,0.080,12.580,160.660,2.130
149.298,-15.500,14.000,801.000,147.739,-23.992,0.139,2054.000,152.220,-17.230,6.660,-19.830,5.780,158.880,0.190,212.720,922.000,853.000,10.400,11.340,6.270,-2.260,-5.390,2.080,-0.900,-11.870,0.880,-0.180,36.060,0.080,24.750,160.660,2.130
177.298,-15.500,14.000,826.000,176.788,-20.977,0.110,1021.000,-177.010,-18.520,8.800,16.070,3.070,138.380,0.190,244.900,901.000,821.000,3.380,3.380,8.450,2.430,-2.290,2.040,-7.620,35.490,6.200,4.420,56.580,0.140,4.200,129.420,2.250
178.298,-15.500,14.000,826.000,177.809,-20.840,0.094,1021.000,-177.010,-18.520,8.800,16.070,3.070,138.380,0.190,244.900,901.000,821.000,3.380,3.380,8.450,2.430,-2.290,2.040,-7.620,35.490,6.200,4.420,56.580,0.140,4.200,129.420,2.250
179.298,-15.500,14.000,826.000,178.829,-20.702,0.078,1023.000,-176.840,-18.860,8.710,16.220,3.010,137.490,0.190,244.840,901.000,821.000,3.750,3.750,8.370,2.430,-2.220,2.040,-7.610,35.560,6.190,4.420,56.580,0.130,4.200,129.420,2.250
146.298,-14.500,14.000,801.000,144.506,-23.205,0.156,2040.000,149.870,-15.800,6.840,-18.450,5.980,160.450,0.190,212.530,922.000,853.000,8.670,8.670,6.490,-2.170,-5.630,2.000,-0.870,-11.320,0.860,-0.170,34.360,0.080,12.580,180.850,2.140
147.298,-14.500,14.000,801.000,145.556,-23.138,0.146,2043.000,150.370,-16.110,6.800,-18.560,5.930,160.310,0.190,212.390,922.000,853.000,9.240,9.240,6.450,-2.170,-5.590,2.000,-0.880,-11.250,0.860,-0.170,34.360,0.080,12.580,180.850,2.140
148.298,-14.500,14.000,801.000,146.606,-23.068,0.135,2047.000,151.050,-16.520,6.750,-18.700,5.880,160.110,0.190,212.200,922.000,853.000,10.000,10.000,6.400,-2.170,-5.530,2.000,-0.890,-11.160,0.870,-0.170,41.410,0.090,12.580,200.940,2.120
172.298,-14.500,14.000,824.000,-179.880,-18.392,0.044,1016.000,-177.370,-17.660,9.000,10.930,3.190,135.750,0.190,249.850,901.000,821.000,2.450,2.450,8.840,1.710,-2.290,2.230,-7.650,30.500,6.590,3.880,74.050,0.160,3.650,140.860,2.580
173.298,-14.500,14.000,824.000,-178.862,-18.454,0.028,1017.000,-177.300,-17.830,8.960,10.980,3.170,135.310,0.190,249.830,901.000,821.000,2.640,2.640,8.800,1.710,-2.250,2.230,-7.640,30.530,6.580,3.880,74.050,0.160,3.650,140.860,2.580
174.298,-14.500,14.000,824.000,-177.843,-18.515,0.013,1019.000,-177.160,-18.180,8.880,11.090,3.120,134.410,0.190,249.780,901.000,821.000,3.010,3.010,8.710,1.710,-2.180,2.230,-7.630,30.590,6.570,3.880,74.050,0.160,3.650,140.860,2.580
175.298,-14.500,14.000,826.000,174.595,-20.255,0.137,2235.000,178.900,-13.540,7.840,76.850,-1.030,-20.600,0.190,210.860,901.000,847.000,3.290,7.840,1.780,7.640,0.960,-0.360,-7.780,69.320,2.750,7.280,97.190,0.040,10.020,155.800,2.430
176.298,-14.500,14.000,826.000,175.617,-20.122,0.123,1016.000,-177.370,-17.660,9.000,10.930,3.190,135.750,0.190,249.850,901.000,821.000,2.450,2.450,8.840,1.710,-2.290,2.230,-7.650,30.500,6.590,3.880,74.050,0.160,3.650,140.860,2.580
177.298,-14.500,14.000,826.000,176.638,-19.987,0.107,1018.000,-177.230,-18.010,8.920,11.030,3.140,134.870,0.190,249.810,901.000,821.000,2.820,2.820,8.760,1.710,-2.220,2.230,-7.640,30.560,6.580,3.880,74.050,0.160,3.650,140.860,2.580
178.298,-14.500,14.000,826.000,177.657,-19.850,0.090,1018.000,-177.230,-18.010,8.920,11.030,3.140,134.870,0.190,249.810,901.000,821.000,2.820,2.820,8.760,1.710,-2.220,2.230,-7.640,30.560,6.580,3.880,74.050,0.160,3.650,140.860,2.580
179.298,-14.500,14.000,826.000,178.675,-19.712,0.074,1019.000,-177.160,-18.180,8.880,11.090,3.120,134.410,0.190,249.780,901.000,821.000,3.010,3.010,8.710,1.710,-2.180,2.230,-7.630,30.590,6.570,3.880,74.050,0.160,3.650,140.860,2.580
146.298,-13.500,14.000,801.000,144.432,-22.207,0.143,2040.000,149.870,-15.800,6.840,-18.450,5.980,160.450,0.190,212.530,922.000,853.000,8.670,8.670,6.490,-2.170,-5.630,2.000,-0.870,-11.320,0.860,-0.170,34.360,0.080,12.580,180.850,2.140
147.298,-13.500,14.000,801.000,145.480,-22.140,0.132,2040.000,149.870,-15.800,6.840,-18.450,5.980,160.450,0.190,212.530,922.000,853.000,8.670,8.670,6.490,-2.170,-5.630,2.000,-0.870,-11.320,0.860,-0.170,34.360,0.080,12.580,180.850,2.140
148.298,-13.500,14.000,801.000,146.527,-22.070,0.122,2043.000,150.370,-16.110,6.800,-18.560,5.930,160.310,0.190,212.390,922.000,853.000,9.240,9.240,6.450,-2.170,-5.590,2.000,-0.880,-11.250,0.860,-0.170,34.360,0.080,12.580,180.850,2.140
168.298,-13.500,14.000,857.000,167.281,-20.145,0.082,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
169.298,-13.500,14.000,857.000,168.308,-20.025,0.099,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
170.298,-13.500,14.000,857.000,169.335,-19.903,0.116,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
172.298,-13.500,14.000,824.000,-179.812,-17.394,0.037,1010.000,-177.770,-16.610,9.250,10.630,3.340,138.240,0.190,249.960,901.000,821.000,1.340,1.340,9.090,1.710,-2.490,2.230,-7.690,30.330,6.640,3.880,78.560,0.170,3.590,144.750,2.580
173.298,-13.500,14.000,824.000,-178.795,-17.456,0.021,1013.000,-177.570,-17.140,9.130,10.780,3.270,137.030,0.190,249.910,901.000,821.000,1.900,1.900,8.970,1.710,-2.390,2.230,-7.670,30.410,6.610,3.880,74.820,0.160,3.590,142.170,2.600
174.298,-13.500,14.000,826.000,173.429,-19.396,0.136,2229.000,177.910,-12.910,7.850,74.430,-1.030,-22.790,0.190,213.240,901.000,847.000,4.440,6.690,2.110,7.570,0.950,-0.400,-7.790,66.920,3.050,7.170,102.020,0.040,8.220,158.000,2.290
175.298,-13.500,14.000,826.000,174.450,-19.265,0.124,2234.000,178.730,-13.440,7.850,74.660,-1.030,-22.750,0.190,213.050,901.000,847.000,3.480,7.650,2.080,7.570,0.950,-0.400,-7.780,67.130,3.020,7.170,97.190,0.040,10.020,155.800,2.430
176.298,-13.500,14.000,826.000,175.470,-19.132,0.113,2236.000,179.070,-13.640,7.840,76.900,-1.030,-20.590,0.190,210.820,901.000,847.000,3.100,8.030,1.780,7.640,0.960,-0.360,-7.770,69.360,2.740,7.280,97.190,0.040,10.020,155.800,2.430
177.298,-13.500,14.000,826.000,176.489,-18.997,0.102,2240.000,179.750,-14.030,7.840,77.090,-1.030,-20.570,0.190,210.660,901.000,847.000,2.330,8.800,1.750,7.640,0.960,-0.360,-7.770,69.540,2.710,7.280,85.900,0.030,4.780,149.760,2.590
178.298,-13.500,14.000,826.000,177.507,-18.860,0.087,1013.000,-177.570,-17.140,9.130,10.780,3.270,137.030,0.190,249.910,901.000,821.000,1.900,1.900,8.970,1.710,-2.390,2.230,-7.670,30.410,6.610,3.880,74.820,0.160,3.590,142.170,2.600
179.298,-13.500,14.000,826.000,178.524,-18.722,0.070,1014.000,-177.500,-17.310,9.090,10.830,3.240,136.610,0.190,249.890,901.000,821.000,2.080,2.080,8.930,1.710,-2.360,2.230,-7.660,30.440,6.610,3.880,74.820,0.160,3.590,142.170,2.600
145.298,-12.500,14.000,888.000,143.315,-21.274,0.144,2039.000,149.730,-15.670,6.850,-43.100,5.990,135.830,0.200,237.270,922.000,853.000,8.480,8.480,5.000,-4.680,-4.300,4.170,-0.870,-36.070,0.700,-0.510,34.360,0.070,12.580,180.850,2.140
