lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
142.422,-4.028,49.0,698.0,138.119,-24.945,0.089,1947.0,140.52,-20.35,-9.02,-93.03,-7.72,63.95,0.18,21.84,801.0,678.0,0.65,0.65,-0.48,-9.0,3.39,6.93,-3.58,-34.52,2.95,-2.03,72.48,0.0,80.71,283.34,2.43,0
136.11,-4.251,227.0,615.0,108.81,-29.757,0.283,1430.0,127.44,-28.67,3.47,34.85,2.01,-104.07,0.18,277.68,919.0,801.0,13.24,14.1,2.84,1.98,-0.49,-1.95,-2.37,0.77,2.36,0.03,26.48,0.03,2.1,190.83,2.25,0
142.574,-5.213,79.0,615.0,133.729,-33.843,0.142,1759.0,142.37,-30.31,4.32,-5.72,4.82,-138.74,0.2,69.07,780.0,678.0,0.47,0.47,4.29,-0.43,-3.62,-3.18,-3.65,-79.19,0.68,-3.59,62.21,0.08,83.61,277.78,2.42,0
146.652,-6.086,77.0,69702.0,146.652,-6.086,0.199,1798.0,137.26,-12.73,5.43,11.46,7.23,-136.42,0.18,53.7,780.0,678.0,2.56,18.66,5.32,1.08,-5.24,-4.99,-3.89,-88.78,0.08,-3.88,62.71,0.09,30.09,130.69,2.48,0
138.933,-4.565,61.0,615.0,129.6,-33.376,0.182,2629.0,142.1,-34.59,0.0,0.0,-2.6,-71.47,0.17,70.25,836.0,836.0,0.09,12.96,0.0,0.0,0.83,-2.46,-2.6,-71.47,0.83,-2.46,13.57,0.0,3.53,247.69,1.85,0
137.404,-1.665,100.0,697.0,137.404,-1.665,0.241,989.0,124.19,2.48,8.24,-14.01,4.76,-133.86,0.2,347.64,926.0,614.0,0.1,0.1,7.99,-1.99,-3.3,-3.43,-7.14,-49.21,4.66,-5.4,70.55,0.15,12.73,139.07,2.12,0
142.895,-3.774,186.0,69701.0,142.895,-3.774,0.293,1669.0,127.98,4.07,10.28,-65.52,4.97,103.65,0.19,334.15,926.0,530.0,0.1,0.1,4.26,-9.36,-1.17,4.83,-5.49,-55.43,3.11,-4.52,127.52,0.09,1.01,163.91,0.79,0
137.295,-4.55,225.0,615.0,110.085,-30.649,0.264,1416.0,127.49,-29.02,3.5,34.49,2.01,-104.07,0.2,277.44,919.0,801.0,13.25,14.87,2.88,1.98,-0.49,-1.95,-2.4,0.74,2.4,0.03,26.2,0.03,2.01,190.53,2.26,0
145.209,-6.949,70.0,615.0,137.347,-35.039,0.091,1650.0,139.81,-30.28,4.99,22.96,1.97,-137.38,0.18,39.56,780.0,678.0,0.09,0.09,4.59,1.95,-1.45,-1.34,-3.2,11.27,3.14,0.62,68.9,0.08,36.02,356.47,2.15,0
142.915,-7.408,194.0,615.0,108.859,-42.434,0.189,639.0,122.93,-40.01,4.88,89.31,-4.3,-45.5,0.2,253.19,919.0,801.0,0.49,0.49,0.06,4.88,3.01,-3.06,-3.58,30.5,3.09,1.82,57.88,0.0,16.64,346.03,2.69,0
147.1,-6.672,180.0,69702.0,147.1,-6.672,0.335,2242.0,131.91,-19.08,8.01,65.1,4.68,-109.92,0.19,232.01,926.0,786.0,0.88,24.52,3.37,7.27,-1.59,-4.4,-3.37,58.43,1.77,2.87,85.74,0.07,3.29,131.85,2.57,0
146.795,-6.582,87.0,698.0,138.8,-35.0,0.176,1989.0,149.01,-29.69,5.51,76.18,1.89,-152.41,0.03,235.23,901.0,869.0,0.02,0.02,1.32,5.35,-1.68,-0.88,4.5,94.65,-0.36,4.48,40.09,0.0,10.49,175.15,2.29,0
